instance,gain_percent,prob,acopp_profit
dsj1000_03_usw_05_02,-1.5702,0.0027414687820237,934563.0
a280_05_unc_05_03,-1.5313,0.0027229906313749,469101.0
pr107_05_usw_10_01,-1.53128,0.0027229811310404,146296.0
dsj1000_05_usw_10_01,-1.52878,0.0027217935892249,1670000.0
a280_01_unc_10_03,-1.48738,0.0027021278967607,116397.0
a280_03_unc_05_03,-1.47087,0.0026942853706113,277396.0
a280_03_unc_05_02,-1.44297,0.0026810324039506,243384.0
pr107_05_unc_10_01,-1.43838,0.0026788520771774,142686.0
pr107_01_unc_05_01,-1.43562,0.0026775410310131,20193.4
eil51_10_unc_10_01,-1.43087,0.0026752847015637,147267.0
dsj1000_05_bsc_05_01,-1.42019,0.002670211522928,2600000.0
eil51_05_unc_01_02,-1.40257,0.0026618417282126,33510.0
a280_05_unc_10_02,-1.39782,0.0026595853987632,534052.0
pr107_01_unc_10_02,-1.39476,0.002658131847581,39646.0
a280_01_bsc_01_01,-1.39146,0.0026565642923846,35758.6
eil51_03_bsc_10_02,-1.37697,0.0026496813000221,122685.0
a280_05_bsc_10_03,-1.37351,0.0026480377421495,1330000.0
a280_05_bsc_05_02,-1.3735,0.0026480329919822,745697.0
a280_10_usw_10_01,-1.3613,0.0026422377879227,855764.0
dsj1000_01_usw_10_01,-1.33801,0.0026311746483698,311699.0
eil51_03_bsc_01_01,-1.33497,0.0026297305975222,18077.8
a280_10_usw_05_03,-1.33337,0.0026289705707603,906368.0
a280_03_bsc_05_01,-1.30948,0.0026176224211716,394071.0
dsj1000_05_usw_05_01,-1.3064,0.0026161593696549,1320000.0
dsj1000_03_bsc_05_01,-1.30189,0.0026140170442198,1540000.0
eil51_01_usw_10_02,-1.29823,0.002612278483002,19293.0
a280_05_bsc_05_01,-1.2849,0.0026059465100419,675388.0
eil51_01_bsc_05_01,-1.26036,0.0025942895995812,19618.8
pr107_03_usw_10_01,-1.21448,0.0025724958321836,92747.4
a280_10_bsc_10_03,-1.20864,0.0025697217345027,2640000.0
a280_05_unc_05_01,-1.18769,0.002559770134089,326792.0
dsj1000_01_usw_10_02,-1.18437,0.0025581930785581,396986.0
a280_01_usw_10_01,-1.18094,0.0025565637711872,89846.5
eil51_03_bsc_10_01,-1.18067,0.0025564355166712,101177.0
a280_03_unc_01_03,-1.17081,0.0025517518517509,127926.0
a280_03_unc_01_01,-1.16466,0.0025488304988849,94101.5
a280_05_usw_01_01,-1.13631,0.0025353637746974,102496.0
eil51_05_usw_01_02,-1.12304,0.0025290603027409,18731.9
eil51_05_usw_10_02,-1.11655,0.0025259774441879,96141.0
eil51_10_unc_01_03,-1.11651,0.0025259584435188,77476.5
dsj1000_03_usw_10_02,-1.0907,0.0025136982618159,1210000.0
eil51_10_usw_01_01,-1.06272,0.0025004072938171,35381.0
eil51_05_unc_05_03,-1.04409,0.0024915577322082,78917.0
pr107_01_bsc_01_01,-1.04221,0.002490664700763,13190.0
dsj1000_01_bsc_10_01,-1.0117,0.0024761719404469,710236.0
eil51_10_usw_10_02,-0.999612,0.0024704299382608,189390.0
eil51_01_usw_05_03,-0.997673,0.0024695088808287,15295.6
eil51_05_bsc_10_03,-0.989705,0.0024657239475544,247653.0
eil51_01_usw_05_02,-0.961498,0.0024523251507588,13368.0
dsj1000_10_bsc_10_02,-0.959803,0.0024515199974079,8580000.0
dsj1000_10_bsc_10_01,-0.959307,0.0024512843891117,7280000.0
a280_10_usw_10_03,-0.956949,0.0024501642996713,1270000.0
a280_05_usw_05_02,-0.95656,0.0024499795181649,408457.0
a280_10_unc_05_02,-0.952459,0.0024480314745708,839795.0
pr107_01_usw_05_01,-0.93177,0.0024382038535226,26168.8
a280_10_bsc_05_01,-0.923141,0.0024341049341923,1360000.0
eil51_10_usw_01_02,-0.918389,0.0024318476547095,38705.5
a280_05_bsc_01_03,-0.912557,0.0024290773571624,189691.0
eil51_01_usw_10_03,-0.903043,0.0024245580480294,21519.8
a280_10_usw_01_02,-0.900979,0.0024235776135065,222721.0
eil51_01_bsc_05_02,-0.88899,0.0024178826379762,23044.9
eil51_01_unc_05_03,-0.887699,0.0024172693913827,17378.3
eil51_01_bsc_01_01,-0.882247,0.0024146796001916,5554.0
dsj1000_10_unc_10_01,-0.867048,0.0024074598209702,3190000.0
a280_05_usw_05_03,-0.860528,0.0024043627119154,451827.0
a280_05_unc_10_03,-0.847567,0.0023982060201273,616923.0
pr107_03_usw_05_01,-0.845607,0.002397274987344,74100.6
eil51_10_usw_05_02,-0.835802,0.0023926174483437,140105.0
a280_03_usw_10_03,-0.831806,0.0023907192815058,374082.0
dsj1000_05_usw_05_03,-0.827027,0.0023884491765714,1660000.0
a280_01_bsc_01_03,-0.80199,0.0023765561827978,40619.8
eil51_05_usw_05_01,-0.790906,0.0023712910974047,57482.6
dsj1000_03_usw_01_03,-0.771255,0.0023619565437183,244986.0
dsj1000_03_usw_05_01,-0.765951,0.0023594370550026,821955.0
eil51_10_bsc_01_01,-0.760879,0.0023570277701674,63974.3
a280_10_bsc_01_03,-0.739439,0.0023468434115579,380361.0
pr107_10_unc_05_01,-0.736388,0.0023453941355263,227796.0
a280_03_unc_05_01,-0.72019,0.0023376998145955,192875.0
eil51_05_bsc_01_01,-0.717137,0.0023362495885304,32620.4
dsj1000_01_unc_10_02,-0.703472,0.0023297584849671,381299.0
a280_10_bsc_01_02,-0.703283,0.0023296687068058,363946.0
eil51_01_bsc_10_01,-0.698458,0.0023273767511019,32357.0
a280_05_unc_01_01,-0.688644,0.0023227149369511,159124.0
