instance,gain_percent,prob
a280_05_bsc_10_03,-1.37351,0.0026480377421495
a280_05_bsc_05_02,-1.3735,0.0026480329919822
a280_10_usw_10_01,-1.3613,0.0026422377879227
dsj1000_01_usw_10_01,-1.33801,0.0026311746483698
eil51_03_bsc_01_01,-1.33497,0.0026297305975222
a280_10_usw_05_03,-1.33337,0.0026289705707603
a280_03_bsc_05_01,-1.30948,0.0026176224211716
dsj1000_05_usw_05_01,-1.3064,0.0026161593696549
dsj1000_03_bsc_05_01,-1.30189,0.0026140170442198
eil51_01_usw_10_02,-1.29823,0.002612278483002
a280_05_bsc_05_01,-1.2849,0.0026059465100419
eil51_01_bsc_05_01,-1.26036,0.0025942895995812
pr107_03_usw_10_01,-1.21448,0.0025724958321836
a280_10_bsc_10_03,-1.20864,0.0025697217345027
a280_05_unc_05_01,-1.18769,0.002559770134089
dsj1000_01_usw_10_02,-1.18437,0.0025581930785581
a280_01_usw_10_01,-1.18094,0.0025565637711872
eil51_03_bsc_10_01,-1.18067,0.0025564355166712
a280_03_unc_01_03,-1.17081,0.0025517518517509
a280_03_unc_01_01,-1.16466,0.0025488304988849
a280_05_usw_01_01,-1.13631,0.0025353637746974
eil51_05_usw_01_02,-1.12304,0.0025290603027409
eil51_05_usw_10_02,-1.11655,0.0025259774441879
eil51_10_unc_01_03,-1.11651,0.0025259584435188
dsj1000_03_usw_10_02,-1.0907,0.0025136982618159
eil51_10_usw_01_01,-1.06272,0.0025004072938171
eil51_05_unc_05_03,-1.04409,0.0024915577322082
pr107_01_bsc_01_01,-1.04221,0.002490664700763
dsj1000_01_bsc_10_01,-1.0117,0.0024761719404469
eil51_10_usw_10_02,-0.999612,0.0024704299382608
eil51_01_usw_05_03,-0.997673,0.0024695088808287
eil51_05_bsc_10_03,-0.989705,0.0024657239475544
eil51_01_usw_05_02,-0.961498,0.0024523251507588
dsj1000_10_bsc_10_02,-0.959803,0.0024515199974079
dsj1000_10_bsc_10_01,-0.959307,0.0024512843891117
a280_10_usw_10_03,-0.956949,0.0024501642996713
a280_05_usw_05_02,-0.95656,0.0024499795181649
a280_10_unc_05_02,-0.952459,0.0024480314745708
pr107_01_usw_05_01,-0.93177,0.0024382038535226
a280_10_bsc_05_01,-0.923141,0.0024341049341923
eil51_10_usw_01_02,-0.918389,0.0024318476547095
a280_05_bsc_01_03,-0.912557,0.0024290773571624
eil51_01_usw_10_03,-0.903043,0.0024245580480294
a280_10_usw_01_02,-0.900979,0.0024235776135065
eil51_01_bsc_05_02,-0.88899,0.0024178826379762
eil51_01_unc_05_03,-0.887699,0.0024172693913827
eil51_01_bsc_01_01,-0.882247,0.0024146796001916
dsj1000_10_unc_10_01,-0.867048,0.0024074598209702
a280_05_usw_05_03,-0.860528,0.0024043627119154
a280_05_unc_10_03,-0.847567,0.0023982060201273
pr107_03_usw_05_01,-0.845607,0.002397274987344
eil51_10_usw_05_02,-0.835802,0.0023926174483437
a280_03_usw_10_03,-0.831806,0.0023907192815058
dsj1000_05_usw_05_03,-0.827027,0.0023884491765714
a280_01_bsc_01_03,-0.80199,0.0023765561827978
eil51_05_usw_05_01,-0.790906,0.0023712910974047
dsj1000_03_usw_01_03,-0.771255,0.0023619565437183
dsj1000_03_usw_05_01,-0.765951,0.0023594370550026
eil51_10_bsc_01_01,-0.760879,0.0023570277701674
a280_10_bsc_01_03,-0.739439,0.0023468434115579
pr107_10_unc_05_01,-0.736388,0.0023453941355263
a280_03_unc_05_01,-0.72019,0.0023376998145955
eil51_05_bsc_01_01,-0.717137,0.0023362495885304
dsj1000_01_unc_10_02,-0.703472,0.0023297584849671
a280_10_bsc_01_02,-0.703283,0.0023296687068058
eil51_01_bsc_10_01,-0.698458,0.0023273767511019
a280_05_unc_01_01,-0.688644,0.0023227149369511
pr107_05_usw_01_01,-0.687197,0.0023220275877483
dsj1000_01_unc_10_03,-0.682534,0.0023198125847541
eil51_05_usw_10_01,-0.676866,0.0023171201899501
pr107_01_usw_01_02,-0.671566,0.0023146026013013
eil51_10_unc_05_03,-0.661276,0.0023097146791888
a280_03_bsc_05_03,-0.654551,0.0023065201917051
pr107_03_unc_05_02,-0.648113,0.0023034620340219
eil51_01_unc_10_03,-0.642663,0.0023008731928642
a280_01_bsc_05_03,-0.630997,0.0022953316477365
pr107_03_usw_01_01,-0.623325,0.0022916873194132
a280_05_usw_01_03,-0.609619,0.002285176740164
eil51_03_bsc_05_01,-0.608853,0.0022848128773517
a280_03_bsc_01_02,-0.607263,0.0022840576007571
pr107_01_usw_10_02,-0.603374,0.002282210260709
a280_10_unc_10_03,-0.602009,0.0022815618628777
dsj1000_05_unc_05_03,-0.596071,0.0022787412135576
eil51_05_bsc_01_02,-0.593707,0.0022776182740169
dsj1000_01_bsc_10_03,-0.587171,0.0022745135646945
dsj1000_03_bsc_10_03,-0.575414,0.0022689287930447
a280_03_bsc_01_01,-0.570871,0.0022667707920576
a280_03_unc_10_03,-0.568369,0.0022655823002087
pr107_05_bsc_01_01,-0.561153,0.0022621545795125
dsj1000_01_usw_10_03,-0.557867,0.0022605936745503
dsj1000_05_usw_01_02,-0.556501,0.0022599448017023
eil51_05_usw_01_03,-0.546964,0.0022554145671846
a280_10_bsc_05_02,-0.546868,0.0022553689655789
eil51_05_unc_01_03,-0.541515,0.0022528262010436
a280_05_usw_01_02,-0.537115,0.0022507361274484
eil51_03_usw_10_02,-0.527316,0.0022460814385484
eil51_10_bsc_10_02,-0.511431,0.0022385357978529
a280_05_unc_01_03,-0.509867,0.0022377928716932
a280_05_usw_10_03,-0.507111,0.0022364837255958
dsj1000_03_unc_10_03,-0.499099,0.0022326778915856
pr107_01_bsc_10_01,-0.472016,0.0022198130135902
a280_10_usw_10_02,-0.46421,0.0022161050330255
dsj1000_10_usw_10_03,-0.451925,0.0022102694525443
dsj1000_10_bsc_10_03,-0.448371,0.0022085812430994
pr107_10_usw_10_01,-0.436323,0.0022028582415823
a280_10_usw_01_03,-0.43483,0.0022021490416101
pr107_03_bsc_10_01,-0.425462,0.0021976990849192
eil51_10_usw_01_03,-0.417182,0.0021937659464263
dsj1000_01_bsc_05_01,-0.416014,0.0021932111268901
pr107_05_bsc_05_01,-0.406508,0.002188695617891
dsj1000_03_unc_05_02,-0.401678,0.0021864012871035
eil51_03_bsc_10_03,-0.385736,0.0021788285704546
eil51_03_usw_01_02,-0.378526,0.0021754036998587
pr107_03_bsc_01_01,-0.372715,0.0021726433776629
eil51_10_unc_01_01,-0.37057,0.0021716244667852
dsj1000_03_bsc_01_01,-0.369551,0.0021711404247412
eil51_03_usw_05_02,-0.367749,0.0021702844446006
a280_10_unc_01_03,-0.364717,0.0021688441938868
pr107_01_unc_10_01,-0.361439,0.0021672870890583
pr107_03_unc_05_01,-0.350908,0.0021622846879148
eil51_03_unc_10_02,-0.344852,0.002159407986621
a280_03_usw_01_03,-0.336309,0.0021553499187292
pr107_01_bsc_10_03,-0.33075,0.0021527093007483
eil51_05_usw_05_02,-0.327626,0.0021512253484957
eil51_03_usw_10_03,-0.327547,0.0021511878221743
eil51_10_usw_05_03,-0.325719,0.0021503194915989
eil51_10_bsc_05_02,-0.325132,0.0021500406567806
dsj1000_05_unc_10_02,-0.322927,0.0021489932448993
eil51_10_unc_10_03,-0.315218,0.0021453313409571
eil51_03_usw_01_03,-0.312962,0.0021442597032229
eil51_03_unc_10_03,-0.307543,0.0021416855875836
eil51_03_unc_01_01,-0.300475,0.0021383281693629
a280_10_bsc_01_01,-0.295976,0.0021361910691118
dsj1000_03_bsc_10_02,-0.292342,0.0021344648583288
pr107_01_bsc_05_03,-0.287194,0.0021320194722224
pr107_03_usw_01_02,-0.287054,0.0021319529698807
pr107_01_usw_05_03,-0.277487,0.0021274084848613
eil51_05_usw_10_03,-0.275706,0.002126562480072
eil51_05_bsc_05_02,-0.273252,0.0021253967890259
dsj1000_05_unc_05_02,-0.272826,0.0021251944319005
a280_05_bsc_05_03,-0.270459,0.0021240700673096
eil51_01_unc_05_01,-0.267583,0.0021227039192051
eil51_10_usw_10_01,-0.259258,0.0021187494049596
eil51_05_bsc_10_01,-0.253908,0.0021162080654745
pr107_10_bsc_05_01,-0.248532,0.0021136543755545
pr107_05_bsc_10_01,-0.246502,0.0021126900916003
eil51_10_bsc_01_03,-0.239965,0.0021095849072612
eil51_10_usw_10_03,-0.238285,0.0021087868791612
pr107_05_usw_01_02,-0.229113,0.0021044300257486
eil51_05_unc_10_02,-0.22677,0.0021033170615592
eil51_03_bsc_05_02,-0.224422,0.0021022017222861
a280_03_usw_01_02,-0.220043,0.0021001216240421
a280_03_bsc_01_03,-0.219588,0.0020999054914317
eil51_05_bsc_05_03,-0.21239,0.0020964863210365
eil51_01_unc_10_02,-0.210508,0.0020955923395579
eil51_05_unc_10_03,-0.203785,0.0020923988021077
a280_10_bsc_05_03,-0.202356,0.002091720003206
dsj1000_05_bsc_05_02,-0.194754,0.0020881089260535
eil51_10_bsc_05_03,-0.193393,0.0020874624282891
dsj1000_03_usw_05_03,-0.191526,0.0020865755720613
eil51_03_bsc_01_02,-0.186801,0.0020843311180301
eil51_10_unc_05_02,-0.178743,0.0020805034332505
dsj1000_05_unc_01_03,-0.175072,0.0020787596468486
pr107_01_unc_10_03,-0.169574,0.002076148004888
eil51_03_bsc_05_03,-0.160266,0.0020717265492007
eil51_05_unc_05_02,-0.15865,0.0020709589221711
dsj1000_01_bsc_01_03,-0.148969,0.0020663602852449
dsj1000_01_bsc_01_01,-0.148969,0.0020663602852449
dsj1000_01_bsc_01_02,-0.148829,0.0020662937829032
pr107_05_unc_05_01,-0.145891,0.0020648981837617
pr107_05_usw_05_01,-0.142943,0.0020634978344529
pr107_01_usw_10_01,-0.140109,0.0020621516370509
eil51_05_usw_01_01,-0.1347,0.0020595822715789
